name,occurences
George,5
Jennifer,5
Ben,5
Peter,5
Marlon,5
Daniel,5
Lee,5
Jean,5
William,6
Tom,7
Michael,7
David,7
Richard,8
Paul,9
John,10
Jack,12
James,12
Robert,17
