FirstName,FullName,Genre,InfluenceToBoy,InfluenceToGirl
Harry,Harry Lennix,Adventure,-0.597577520342,-1
Harry,Harry Lennix,Fantasy,-0.597577520342,-1
Harry,Harry Lennix,Sci-Fi,-0.597577520342,-1
Tom,Tom Hardy,Action,0.0,-1
Tom,Tom Hardy,Thriller,0.0,-1
Christian,Christian Bale,Action,-0.853030001744,-0.0341137450434
Christian,Christian Bale,Thriller,-0.853030001744,-0.0341137450434
Joseph,Joseph Gordon-Levitt,Action,-0.862741491183,0.0
Joseph,Joseph Gordon-Levitt,Thriller,-0.862741491183,0.0
Daryl,Daryl Sabara,Action,0.374596496949,0.0
Daryl,Daryl Sabara,Adventure,0.374596496949,0.0
Daryl,Daryl Sabara,Sci-Fi,0.374596496949,0.0
Samantha,Samantha Morton,Action,0.0,-0.846164000439
Samantha,Samantha Morton,Adventure,0.0,-0.846164000439
Samantha,Samantha Morton,Sci-Fi,0.0,-0.846164000439
Polly,Polly Walker,Action,-1,0.0
Polly,Polly Walker,Adventure,-1,0.0
Polly,Polly Walker,Sci-Fi,-1,0.0
Jerry,Jerry Mathers,Comedy,0.101657620382,0.171402511073
Jerry,Jerry Mathers,Mystery,0.101657620382,0.171402511073
Jerry,Jerry Mathers,Romance,0.101657620382,0.171402511073
John,John Forsythe,Comedy,0.226233505334,-0.0956509785004
John,John Forsythe,Mystery,0.226233505334,-0.0956509785004
John,John Forsythe,Romance,0.226233505334,-0.0956509785004
Royal,Royal Dano,Comedy,-0.340126474498,0.0
Royal,Royal Dano,Mystery,-0.340126474498,0.0
Royal,Royal Dano,Romance,-0.340126474498,0.0
Hanne,Hanne Aagesen,Drama,-1,-1
Hanne,Hanne Aagesen,Fantasy,-1,-1
Sylvia,Sylvia Eckhausen,Drama,-1,-0.0150042411887
Sylvia,Sylvia Eckhausen,Fantasy,-1,-0.0150042411887
Ejner,Ejner Federspiel,Drama,-1,-1
Ejner,Ejner Federspiel,Fantasy,-1,-1
Gene,Gene Tierney,Drama,0.12829683308,0.0
Gene,Gene Tierney,History,0.12829683308,0.0
Peter,Peter Ustinov,Drama,-0.00121395984738,-1
Peter,Peter Ustinov,History,-0.00121395984738,-1
Jean,Jean Simmons,Drama,0.634438277842,-0.0698140038094
Jean,Jean Simmons,History,0.634438277842,-0.0698140038094
Marlon,Marlon Brando,Crime,-0.365029960852,-1
Marlon,Marlon Brando,Drama,-0.365029960852,-1
Marlon,Marlon Brando,Romance,-0.365029960852,-1
Karl,Karl Malden,Crime,0.120917768854,-1
Karl,Karl Malden,Drama,0.120917768854,-1
Karl,Karl Malden,Romance,0.120917768854,-1
Rod,Rod Steiger,Crime,-0.0868442677852,-1
Rod,Rod Steiger,Drama,-0.0868442677852,-1
Rod,Rod Steiger,Romance,-0.0868442677852,-1
William,William Holden,Adventure,-0.0643998220471,0.105675113886
William,William Holden,Drama,-0.0643998220471,0.105675113886
William,William Holden,War,-0.0643998220471,0.105675113886
Sessue,Sessue Hayakawa,Adventure,-1,-1
Sessue,Sessue Hayakawa,Drama,-1,-1
Sessue,Sessue Hayakawa,War,-1,-1
Jack,Jack Hawkins,Adventure,-0.209726397087,-1
Jack,Jack Hawkins,Drama,-0.209726397087,-1
Jack,Jack Hawkins,War,-0.209726397087,-1
Jack,Jack Warden,Crime,-0.11714014754,-1
Jack,Jack Warden,Drama,-0.11714014754,-1
Lee,Lee J. Cobb,Crime,0.159217780547,0.15433165971
Lee,Lee J. Cobb,Drama,0.159217780547,0.15433165971
John,John Fiedler,Crime,-0.00995294963086,-0.13818159173
John,John Fiedler,Drama,-0.00995294963086,-0.13818159173
Royal,Royal Dano,Adventure,-0.340126474498,0.0
Royal,Royal Dano,Drama,-0.340126474498,0.0
Richard,Richard Basehart,Adventure,-0.01585184547,0.0180247574828
Richard,Richard Basehart,Drama,-0.01585184547,0.0180247574828
James,James Robertson Justice,Adventure,-0.0615701781752,0.132374172312
James,James Robertson Justice,Drama,-0.0615701781752,0.132374172312
Gina,Gina Lollobrigida,Drama,-1,-0.215070166489
Gina,Gina Lollobrigida,Romance,-1,-0.215070166489
Katy,Katy Jurado,Drama,-1,0.694489795918
Katy,Katy Jurado,Romance,-1,0.694489795918
Sidney,Sidney James,Drama,-0.0792945144842,0.0
Sidney,Sidney James,Romance,-0.0792945144842,0.0
Peter,Peter Ustinov,Biography,-0.00121395984738,-1
Peter,Peter Ustinov,Drama,-0.00121395984738,-1
Peter,Peter Ustinov,History,-0.00121395984738,-1
Peter,Peter Ustinov,Romance,-0.00121395984738,-1
Deborah,Deborah Kerr,Biography,-1,-0.761841684176
Deborah,Deborah Kerr,Drama,-1,-0.761841684176
Deborah,Deborah Kerr,History,-1,-0.761841684176
Deborah,Deborah Kerr,Romance,-1,-0.761841684176
Robert,Robert Taylor,Biography,-0.0114046442274,-0.0668617386758
Robert,Robert Taylor,Drama,-0.0114046442274,-0.0668617386758
Robert,Robert Taylor,History,-0.0114046442274,-0.0668617386758
Robert,Robert Taylor,Romance,-0.0114046442274,-0.0668617386758
Agnes,Agnes Moorehead,Drama,-1,0.0166006416233
Agnes,Agnes Moorehead,Family,-1,0.0166006416233
Agnes,Agnes Moorehead,Musical,-1,0.0166006416233
Agnes,Agnes Moorehead,Romance,-1,0.0166006416233
Ava,Ava Gardner,Drama,-1,-0.134309983141
Ava,Ava Gardner,Family,-1,-0.134309983141
Ava,Ava Gardner,Musical,-1,-0.134309983141
Ava,Ava Gardner,Romance,-1,-0.134309983141
Howard,Howard Keel,Drama,0.117149104139,-1
Howard,Howard Keel,Family,0.117149104139,-1
Howard,Howard Keel,Musical,0.117149104139,-1
Howard,Howard Keel,Romance,0.117149104139,-1
Keenan,Keenan Wynn,Biography,0.0,-1
Keenan,Keenan Wynn,Comedy,0.0,-1
Keenan,Keenan Wynn,Musical,0.0,-1
Keenan,Keenan Wynn,Romance,0.0,-1
Keenan,Keenan Wynn,Western,0.0,-1
Howard,Howard Keel,Biography,0.117149104139,-1
Howard,Howard Keel,Comedy,0.117149104139,-1
Howard,Howard Keel,Musical,0.117149104139,-1
Howard,Howard Keel,Romance,0.117149104139,-1
Howard,Howard Keel,Western,0.117149104139,-1
Betty,Betty Hutton,Biography,0.0,0.141010580006
Betty,Betty Hutton,Comedy,0.0,0.141010580006
